"","x"
"1","AL645608.1"
"2","RP11-54O7.3"
"3","SAMD11"
"4","C1orf170"
"5","PLEKHN1"
"6","HES4"
"7","RP11-54O7.17"
"8","."
"9","ACAP3"
"10","CPSF3L"
"11","GLTPD1"
"12","PUSL1"
"13","RP5-890O3.9"
"14","TAS1R3"
"15","AURKAIP1"
"16","AHDC1"
"17","RP11-288L9.4"
"18","CCDC28B"
"19","IQCC"
"20","RP4-622L5.7"
"21","DCDC2B"
"22","EIF3I"
"23","TMEM234"
"24","FAM167B"
"25","C1orf216"
"26","RP11-435D7.3"
"27","RP11-312B8.1"
"28","OSCP1"
"29","C1orf109"
"30","CDCA8"
"31","MTF1"
"32","RP11-109P14.10"
"33","PTPRF"
"34","KDM4A-AS1"
"35","ST3GAL3"
"36","RNU6-1058P"
"37","RP11-184I16.4"
"38","RNU6-1177P"
"39","TCTEX1D1"
"40","ACADM"
"41","RP4-682C21.5"
"42","RABGGTB"
"43","SNORD45A"
"44","SNORD45B"
"45","SNORD45C"
"46","MSH4"
"47","PIGK"
"48","AC095030.1"
"49","RNU7-8P"
"50","ZZZ3"
"51","USP33"
"52","FAM73A"
"53","RNA5SP21"
"54","RNU6-1102P"
"55","RP11-386I14.3"
"56","F3"
"57","RP11-465K1.2"
"58","RP11-57H12.3"
"59","RWDD3"
"60","OLFML3"
"61","CGN"
"62","SNORA44"
"63","NBPF18P"
"64","S100A10"
"65","RNU6-160P"
"66","PGLYRP4"
"67","S100A9"
"68","S100A12"
"69","S100A14"
"70","S100A16"
"71","INTS3"
"72","RP11-216N14.8"
"73","RP11-216N14.9"
"74","snoU13"
"75","SLC27A3"
"76","DENND4B"
"77","CRTC2"
"78","CREB3L4"
"79","RP11-422P24.10"
"80","SLC39A1"
"81","JTB"
"82","RP11-422P24.11"
"83","RAB13"
"84","RP11-422P24.9"
"85","RPS27"
"86","U3"
"87","MIR190B"
"88","TPM3"
"89","AL590431.1"
"90","UBAP2L"
"91","SNORA58"
"92","RP11-505O17.1"
"93","SHCBP1L"
"94","RNU6-41P"
"95","LAMC1"
"96","RP11-444D13.1"
"97","IPO9-AS1"
"98","IPO9"
"99","TIMM17A"
"100","GPR37L1"
"101","GJC2"
"102","GUK1"
"103","IBA57-AS1"
"104","IBA57"
"105","C1orf145"
"106","SKIDA1"
"107","HMX3"
"108","RP11-443A13.5"
"109","POLR3A"
"110","RPS24"
"111","PPIF"
"112","SFTPA2"
"113","TMEM254-AS1"
"114","TMEM254"
"115","RP11-137H2.4"
"116","SH2D4B"
"117","PYROXD2"
"118","HPS1"
"119","ACADSB"
"120","IKZF5"
"121","DOCK1"
"122","BET1L"
"123","RIC8A"
"124","PSMD13"
"125","SIRT3"
"126","KCNQ1OT1"
"127","MIR4686"
"128","TH"
"129","CD81"
"130","Y_RNA"
"131","TRPM5"
"132","KCNQ1"
"133","EIF3M"
"134","CCDC73"
"135","RBM4B"
"136","RP11-7N14.1"
"137","CLPB"
"138","PDE2A"
"139","ARAP1-AS1"
"140","ARAP1"
"141","ARAP1-AS2"
"142","RPS12P20"
"143","ATG16L2"
"144","RNU6-672P"
"145","SYTL2"
"146","AP000974.1"
"147","CCDC83"
"148","PRSS23"
"149","RP11-736K20.5"
"150","ARHGAP42"
"151","CTD-2383M3.1"
"152","MMP20"
"153","DCUN1D5"
"154","DYNC2H1"
"155","CWF19L2"
"156","CCDC34"
"157","C11orf1"
"158","FDXACB1"
"159","PTS"
"160","RPS12P21"
"161","snosnR66"
"162","RP11-667M19.2"
"163","RP11-667M19.4"
"164","ZW10"
"165","HOXC13-AS"
"166","HOXC13"
"167","AC012531.23"
"168","HOXC12"
"169","RP11-834C11.10"
"170","RP11-834C11.8"
"171","SMUG1"
"172","GPR84"
"173","ZNF385A"
"174","HOXC4"
"175","HOXC5"
"176","HOXC6"
"177","MIR615"
"178","BAZ2A"
"179","NACA"
"180","RP11-545N8.3"
"181","LRP1"
"182","MIR1228"
"183","NXPH4"
"184","SHMT2"
"185","NDUFA4L2"
"186","INHBE"
"187","GLI1"
"188","B4GALNT1"
"189","AGAP2"
"190","TSPAN31"
"191","ASCL1"
"192","PAH"
"193","TXNRD1"
"194","SLC41A2"
"195","C12orf45"
"196","RP11-61E11.1"
"197","ALDH1L2"
"198","KIAA1033"
"199","RP11-61E11.2"
"200","KCNRG"
"201","DLEU1"
"202","DLEU2"
"203","AC000403.1"
"204","KCTD12"
"205","IRG1"
"206","CLN5"
"207","TMEM253"
"208","ZNF219"
"209","RNU6-252P"
"210","RP11-998D10.5"
"211","AP1G2"
"212","RP11-66N24.3"
"213","RP11-66N24.4"
"214","THTPA"
"215","ZFHX2"
"216","DCAF11"
"217","NRL"
"218","IRF9"
"219","RNF31"
"220","IPO4"
"221","RP11-468E2.2"
"222","TM9SF1"
"223","TSSK4"
"224","GMPR2"
"225","TINF2"
"226","DHRS1"
"227","NOP9"
"228","ADCY4"
"229","RIPK3"
"230","RP11-934B9.3"
"231","CBLN3"
"232","KHNYN"
"233","SDR39U1"
"234","PAX9"
"235","RP11-964E11.2"
"236","C14orf166"
"237","RP11-463J10.4"
"238","DAAM1"
"239","RP11-840I19.3"
"240","RP11-1012A1.4"
"241","RDH12"
"242","ACYP1"
"243","ZC2HC1C"
"244","GATM"
"245","SPATA5L1"
"246","C15orf48"
"247","RNU7-5P"
"248","RP11-519G16.3"
"249","RNU6-549P"
"250","AC100830.4"
"251","AC100830.5"
"252","OAZ2"
"253","RBPMS2"
"254","ARIH1"
"255","RP11-1007O24.2"
"256","RP11-1007O24.3"
"257","MIR630"
"258","BBS4"
"259","HIGD2B"
"260","RP11-361M10.4"
"261","MESP1"
"262","CTD-2315E11.1"
"263","IDH2"
"264","CCDC154"
"265","CLCN7"
"266","LA16c-390E6.4"
"267","LA16c-390E6.5"
"268","TMEM114"
"269","CARHSP1"
"270","RP11-77H9.6"
"271","METTL22"
"272","ABAT"
"273","RN7SL743P"
"274","RNU7-63P"
