"","x"
"289","FAM196A"
"290","DLX5"
"291","CACNA1G-AS1"
"292","CACNA1G"
"293","RP1-290I10.3"
"294","TFAP2A-AS1"
"295","TFAP2A"
"296","LRP1"
"297","STAT6"
"298","PLEK2"
"299","MON1A"
"300","SLC5A7"
"301","C17orf107"
"302","CHRNE"
"303","MINK1"
"304","RN7SL784P"
"305","NINL"
"306","ST6GALNAC3"
"307","SFRP2"
"308","C1orf87"
"309","AC079145.4"
"310","WDR35"
"311","THEM4"
"312","SOX2"
"313","ARTN"
"314","ZNF418"
"315","CTD-2517O10.6"
"316","TTC23L"
"317","SLC38A11"
"318","PTGDR"
"319","RSPH6A"
"320","SYMPK"
"321","ALX1"
